gene_symbol,module,P2A1,P2A2,P2A3,F1A3,F1A4,F351,F352,F451,F452,F453
BLM,BLM–BTRR / HR,-1.1119998302984209,0.03227231518006232,1.2013287064997915,-1.1115265223039221,-1.7986476734809642,0.3001093706241723,0.5751620039476284,0.543168989600813,0.37357128915442694,0.9965613510764129
TOP3A,BLM–BTRR / HR,1.8062050202034716,0.9282388454232566,-0.3328075241631607,0.39575951780170493,0.5309963973665589,-1.3047971108130012,-0.9035669509682056,-0.8585660600114992,-0.8505945315930312,0.5891323967538936
RMI1,BLM–BTRR / HR,-0.12692859728590575,0.17371670592567837,1.8100848167722055,-1.0024214580757462,-1.4851536838283503,1.1540221268932984,0.6910383094097328,-0.09288513872528241,-0.660723414524862,-0.46074966656077915
RMI2,BLM–BTRR / HR,0.39779311191078054,1.4290401663521028,-1.2068665999976655,0.47474053253403925,1.128012451249855,0.2532968113775421,-1.5710230354145793,-0.22024848006454767,0.3752859757692917,-1.0600309337166705
BRCA1,BLM–BTRR / HR,-0.6713151056636004,-0.3140737500951947,0.8492286458355667,-0.787251954656388,-2.159942245218689,0.5779790037301183,0.14060602377320147,1.0222318042548797,0.4025709529834807,0.9399666250565806
BRCA2,BLM–BTRR / HR,-0.40566239999565507,0.11072318716355434,1.481762689706721,-0.9981494479121769,-2.060525235241659,0.855167259672189,0.46019441897176133,0.6584059867432694,-0.007892651384130969,-0.09402380772381176
PALB2,BLM–BTRR / HR,-0.33537024414195565,0.29366377130714,2.197777078484022,-0.8315667365216808,-0.8329935726557743,-0.2296616380925418,0.7669745035835391,0.2019781788567726,0.14171796643229434,-1.3725193072515782
BARD1,BLM–BTRR / HR,-0.9840411553245857,-0.2842826958724145,0.7196643425725165,-1.2592391810016288,-1.5023715824290371,1.4106381317559338,0.7061947687780483,1.0305820606581204,0.19578368002755545,-0.0329283691644601
BRIP1,BLM–BTRR / HR,0.3621378876191586,-0.1891530681625215,2.3277598606199392,-0.5408176686706558,-1.054266916265086,0.14173419714837548,0.849447676525219,-0.606144749866124,-0.4600950455698404,-0.8306021733784813
RAD51,BLM–BTRR / HR,-1.6149878091235232,-0.12016594537239086,0.629813621952829,0.8596777627841514,-0.11770471527681495,1.3306689374342542,0.960717661747841,-1.5056487174022901,-0.5094924682689171,0.0871216715249536
RAD51B,BLM–BTRR / HR,0.5868600038370008,1.0961448478334195,0.12901683834236524,0.6543561933594008,1.6455326317333516,-0.3751438538568737,-1.2528072258129364,-0.4652433472550662,-1.4199303540195578,-0.5987857341610877
RAD51C,BLM–BTRR / HR,-1.0675456585683631,-0.3686764737240299,-1.0675456585683631,-1.0675456585683631,-1.0675456585683631,0.9084250376005126,0.9352364154676659,0.9040538938864204,0.9414659131227122,0.949677847920173
RAD51D,BLM–BTRR / HR,1.4375148785516563,0.6191664796934266,-1.8640681369440175,-0.636978907464296,-0.24666006132362614,-0.12465265913603914,0.889188022226443,0.41693341183529975,-1.113713377527948,0.6232703500890694
XRCC2,BLM–BTRR / HR,-1.1288121217545035,-0.3458426178140236,0.6161456409844032,-1.2686467165752078,-1.630935281789412,0.7628675754809441,0.8362466868349557,0.44651611056447904,0.7847696034936942,0.927691120574676
